a_x, a_y, a_z, t
-0.0,-0.0,0.25,0.756171464920044
-0.0,-0.0,0.25,0.7599925994873047
-0.0,-0.0,0.25,0.760127067565918
-0.0,-0.0,0.25,0.7643961906433105
-0.0,-0.0,0.24,0.764768123626709
-0.0,-0.0,0.25,0.7683200836181641
0.0,-0.0,0.25,0.768613338470459
-0.0,-0.0,0.25,0.7723093032836914
0.0,-0.0,0.25,0.7724483013153076
-0.0,-0.0,0.25,0.7763469219207764
-0.0,-0.0,0.25,0.7764813899993896
-0.0,-0.0,0.25,0.7797482013702393
-0.0,-0.0,0.24,0.7836039066314697
-0.0,-0.0,0.25,0.7839024066925049
-0.0,-0.0,0.24,0.7877147197723389
-0.0,-0.0,0.25,0.787860631942749
-0.0,-0.0,0.25,0.7917122840881348
-0.0,-0.0,0.25,0.7918446063995361
-0.0,-0.0,0.25,0.7958292961120605
-0.0,-0.0,0.25,0.7960560321807861
-0.0,-0.0,0.25,0.7998549938201904
-0.0,-0.0,0.25,0.8001136779785156
-0.0,-0.0,0.25,0.8039231300354004
-0.0,-0.0,0.25,0.804182767868042
-0.0,-0.0,0.24,0.8078985214233398
-0.0,-0.0,0.25,0.8080840110778809
-0.0,-0.0,0.25,0.8119931221008301
0.0,-0.0,0.25,0.812129020690918
-0.0,-0.0,0.25,0.8159923553466797
-0.0,-0.0,0.25,0.8198585510253906
-0.0,-0.0,0.25,0.8200373649597168
-0.0,-0.0,0.25,0.8239498138427734
-0.0,-0.0,0.25,0.8241324424743652
-0.0,-0.0,0.25,0.8279528617858887
-0.0,-0.0,0.25,0.8281064033508301
-0.0,-0.0,0.25,0.8319864273071289
-0.0,-0.0,0.25,0.8321483135223389
-0.0,0.0,0.24,0.8363862037658691
-0.0,-0.0,0.25,0.8367822170257568
-0.0,-0.0,0.24,0.8406057357788086
-0.0,-0.0,0.25,0.8409569263458252
-0.0,-0.0,0.25,0.8447768688201904
-0.0,-0.0,0.25,0.845266580581665
-0.0,-0.0,0.25,0.8492922782897949
-0.0,-0.0,0.25,0.8504962921142578
0.0,-0.0,0.25,0.851933479309082
-0.0,-0.0,0.25,0.8522894382476807
0.0,-0.0,0.25,0.8565969467163086
-0.0,-0.0,0.25,0.8598384857177734
-0.0,-0.0,0.25,0.8602437973022461
-0.0,-0.0,0.25,0.8641214370727539
-0.0,-0.0,0.25,0.8654227256774902
-0.01,-0.0,0.25,0.8680989742279053
-0.0,-0.0,0.25,0.8687443733215332
-0.02,-0.0,0.25,0.8723604679107666
-0.0,-0.0,0.25,0.8733260631561279
-0.0,-0.0,0.25,0.876488447189331
-0.0,-0.0,0.25,0.8768503665924072
-0.0,-0.0,0.25,0.8803510665893555
-0.0,-0.0,0.25,0.8815417289733887
-0.0,-0.0,0.25,0.8846042156219482
-0.0,-0.0,0.25,0.8852112293243408
-0.0,-0.0,0.25,0.8876731395721436
-0.0,-0.0,0.25,0.8881042003631592
-0.0,-0.0,0.25,0.891831636428833
-0.0,-0.0,0.24,0.8955230712890625
-0.0,-0.0,0.25,0.8958959579467773
-0.0,-0.01,0.25,0.8995935916900635
-0.0,-0.01,0.25,0.9000310897827148
0.0,-0.01,0.24,0.9037442207336426
0.01,-0.03,0.25,0.9041414260864258
0.0,-0.03,0.24,0.9079732894897461
0.01,-0.02,0.25,0.9083235263824463
0.0,-0.02,0.24,0.9122555255889893
0.0,-0.02,0.25,0.9126570224761963
0.0,-0.02,0.25,0.9168391227722168
0.0,-0.02,0.25,0.9172158241271973
0.0,-0.02,0.25,0.9213666915893555
0.0,-0.02,0.25,0.9222524166107178
0.0,-0.02,0.25,0.9253439903259277
0.0,-0.02,0.25,0.9257266521453857
-0.0,-0.01,0.25,0.9292514324188232
-0.0,-0.01,0.25,0.9298102855682373
-0.0,-0.01,0.25,0.9334392547607422
-0.01,-0.01,0.25,0.9341201782226562
-0.01,-0.0,0.25,0.9379072189331055
-0.01,0.0,0.25,0.9388787746429443
-0.01,0.0,0.25,0.9418365955352783
-0.01,0.01,0.25,0.942180871963501
-0.01,0.0,0.25,0.9458303451538086
-0.01,-0.0,0.25,0.946190595626831
-0.01,-0.0,0.25,0.9501986503601074
-0.01,0.0,0.25,0.9507412910461426
-0.01,-0.0,0.25,0.954155445098877
-0.01,-0.0,0.25,0.9545154571533203
-0.01,-0.0,0.25,0.9576888084411621
-0.0,-0.01,0.25,0.9581787586212158
-0.01,-0.01,0.25,0.9616117477416992
-0.01,-0.0,0.24,0.9654850959777832
-0.0,-0.01,0.25,0.9665148258209229
-0.0,-0.01,0.24,0.9694511890411377
-0.0,-0.01,0.25,0.9700832366943359
-0.0,-0.01,0.25,0.9734511375427246
-0.01,-0.01,0.25,0.9740962982177734
-0.01,-0.01,0.24,0.9776303768157959
-0.0,-0.01,0.25,0.9780735969543457
-0.0,-0.0,0.25,0.9820775985717773
-0.0,-0.0,0.25,0.9828965663909912
-0.0,-0.01,0.25,0.9857017993927002
-0.0,-0.0,0.25,0.986147403717041
-0.01,-0.01,0.25,0.9898233413696289
-0.0,-0.0,0.25,0.9904906749725342
-0.0,-0.01,0.25,0.9932570457458496
-0.0,-0.01,0.25,0.9967191219329834
-0.0,-0.01,0.24,0.9972593784332275
-0.0,-0.0,0.25,1.0009040832519531
-0.01,-0.01,0.24,1.0015089511871338
-0.0,-0.01,0.25,1.0049076080322266
-0.0,-0.01,0.25,1.0055391788482666
-0.0,-0.01,0.24,1.0092694759368896
-0.0,-0.01,0.25,1.0096619129180908
-0.01,-0.01,0.24,1.0131642818450928
-0.01,-0.01,0.25,1.0137240886688232
-0.0,-0.0,0.25,1.0172836780548096
-0.0,-0.01,0.25,1.0179104804992676
-0.0,-0.01,0.25,1.0221319198608398
-0.0,-0.01,0.25,1.022705078125
-0.01,-0.0,0.25,1.0251951217651367
-0.01,-0.0,0.25,1.025552749633789
-0.01,-0.0,0.25,1.0293092727661133
-0.0,-0.01,0.24,1.0328869819641113
-0.01,-0.0,0.24,1.0334908962249756
-0.01,-0.0,0.25,1.0370111465454102
-0.0,-0.0,0.25,1.0378832817077637
-0.0,-0.01,0.25,1.0413157939910889
-0.01,-0.0,0.25,1.0417094230651855
-0.01,-0.01,0.25,1.0452733039855957
-0.0,-0.0,0.25,1.0456268787384033
-0.0,-0.01,0.24,1.0494751930236816
-0.01,-0.01,0.24,1.0499317646026611
0.0,-0.01,0.25,1.0537750720977783
0.0,-0.01,0.25,1.0544190406799316
0.0,-0.01,0.25,1.0578312873840332
0.0,-0.01,0.25,1.058464765548706
0.01,-0.01,0.24,1.062063455581665
0.0,-0.0,0.25,1.062587022781372
0.0,-0.0,0.24,1.066481590270996
0.0,-0.0,0.25,1.0671041011810303
-0.0,-0.0,0.25,1.0702826976776123
